borough,precinct,crashes,injuries,fatalities
Manhattan,1,6,6,0
Manhattan,5,7,6,0
Manhattan,6,3,2,0
Manhattan,7,6,5,0
Manhattan,9,4,4,0
Manhattan,10,3,2,0
Manhattan,13,3,2,0
Manhattan,14,0,0,0
Manhattan,17,2,2,0
Manhattan,18,0,0,0
Manhattan,19,5,4,0
Manhattan,20,2,2,0
Manhattan,22,57,42,0
Manhattan,23,0,0,0
Manhattan,24,4,2,0
Manhattan,25,0,0,0
Manhattan,26,6,6,0
Manhattan,28,0,0,0
Manhattan,30,2,1,0
Manhattan,32,0,0,0
Manhattan,33,0,0,0
Manhattan,34,1,1,0
Bronx,40,5,5,0
Bronx,41,0,0,0
Bronx,42,1,1,0
Bronx,43,2,1,0
Bronx,44,0,0,0
Bronx,45,2,2,0
Bronx,46,0,0,0
Bronx,47,1,1,0
Bronx,48,1,1,0
Bronx,49,2,2,0
Bronx,50,1,1,0
Bronx,52,0,0,0
Brooklyn,60,0,0,0
Brooklyn,61,2,1,0
Brooklyn,62,1,1,0
Brooklyn,63,1,1,0
Brooklyn,66,0,0,0
Brooklyn,67,0,0,0
Brooklyn,68,2,2,0
Brooklyn,69,0,0,0
Brooklyn,70,1,1,0
Brooklyn,71,0,0,0
Brooklyn,72,9,8,0
Brooklyn,73,0,0,0
Brooklyn,75,3,2,0
Brooklyn,76,2,2,0
Brooklyn,77,4,4,0
Brooklyn,78,10,10,0
Brooklyn,79,5,5,0
Brooklyn,81,2,2,0
Brooklyn,83,2,2,0
Brooklyn,84,8,6,0
Brooklyn,88,4,4,0
Brooklyn,90,10,9,0
Brooklyn,94,6,6,0
Queens,100,2,2,0
Queens,101,0,0,0
Queens,102,2,2,0
Queens,103,0,0,0
Queens,104,0,0,0
Queens,105,1,1,0
Queens,106,0,0,0
Queens,107,1,0,0
Queens,108,4,4,0
Queens,109,0,0,0
Queens,110,5,4,0
Queens,111,0,0,0
Queens,112,1,1,0
Queens,113,0,0,0
Queens,114,1,1,0
Queens,115,8,8,0
StatenIsland,120,3,3,0
StatenIsland,121,0,0,0
StatenIsland,122,2,1,0
StatenIsland,123,2,2,0
